cheese,milk,type,texture,url
brie_de_melun,cow,"semi-soft, soft-ripened",firm,https://www.cheese.com/brie-de-melun/
brie_de_portneuf,cow,"soft, soft-ripened","buttery, creamy, supple",https://www.cheese.com/brie-de-portneuf/
brie_de_portneuf_double_cream,cow,"soft, soft-ripened","buttery, creamy, supple",https://www.cheese.com/brie-de-portneuf-double-cream/
brightwell_ash,goat,"semi-firm, artisan",smooth,https://www.cheese.com/brightwell-ash/
brillat-savarin,cow,"soft, artisan","creamy, dense",https://www.cheese.com/brillat-savarin/
brillo_di_treviso,cow,soft,compact,https://www.cheese.com/brillo-di-treviso/
brimstone,cow,"semi-hard, artisan",crumbly,https://www.cheese.com/brimstone/
brin,cow,"semi-soft, artisan","creamy, spreadable",https://www.cheese.com/brin/
brin_d_amour,sheep,"semi-soft, artisan","creamy, firm",https://www.cheese.com/brin-damour/
brinza_-_feta_style,sheep,"soft, brined","creamy, crumbly, open",https://www.cheese.com/brinza---feta-style/
briquette_de_brebis,sheep,soft,creamy,https://www.cheese.com/briquette-de-brebis/
briquette_du_forez,"cow, goat","soft, soft-ripened",creamy,https://www.cheese.com/briquette-du-forez/
briscola,cow,semi-hard,"firm, open",https://www.cheese.com/briscola/
